"","Degree","Betweenness","Eigenvecto","Constraint"
"BF1",29,0,0.994874114549149,0.13251925555559
"BF2",29,0,0.994874114549149,0.13251925555559
"BG",29,0,0.994874114549149,0.13251925555559
"BL",29,0,0.994874114549149,0.13251925555559
"CC",29,0,0.994874114549149,0.13251925555559
"CH",29,0,0.99487411454915,0.13251925555559
"CM",29,0,0.994874114549149,0.13251925555559
"DE",4,0,0.0384522174203332,0.630498880853994
"DJ",29,0,0.99487411454915,0.13251925555559
"EC",29,0,0.994874114549149,0.13251925555559
"EJ",4,0,0.0384522174203333,0.630498880853994
"JB",29,0,0.994874114549149,0.13251925555559
"JC1",29,0,0.994874114549149,0.13251925555559
"JC2",29,0,0.99487411454915,0.13251925555559
"JK",29,0,0.99487411454915,0.13251925555559
"JR",29,0,0.99487411454915,0.13251925555559
"KB",29,0,0.994874114549149,0.13251925555559
"KG",29,0,0.994874114549149,0.13251925555559
"LB",29,0,0.994874114549149,0.13251925555559
"LS",4,0,0.0384522174203332,0.630498880853994
"MC",29,0,0.994874114549149,0.13251925555559
"MM1",29,0,0.994874114549149,0.13251925555559
"MM2",29,0,0.994874114549149,0.13251925555559
"PK",29,0,0.994874114549149,0.13251925555559
"PO",29,0,0.994874114549149,0.13251925555559
"PS",29,0,0.99487411454915,0.13251925555559
"RB",29,0,0.99487411454915,0.13251925555559
"RN",30,33,0.996018474202033,0.125083237277955
"RW",29,0,0.99487411454915,0.13251925555559
"SP1",29,0,0.994874114549149,0.13251925555559
"SP2",33,120,1,0.114011022680716
"TP",29,0,0.994874114549149,0.13251925555559
"WH",29,0,0.99487411454915,0.13251925555559
"MB",4,0,0.0384522174203333,0.630498880853994
"PG",1,0,0.0343380019718778,1
