"","Degree","Betweenness","Eigenvecto","Constraint"
"105lgwm",157,151107,1,0.00636942675159233
"14ec8zx",28,20343,0,0.0357142857142857
"126rjun",12,1095,0,0.0833333333333334
"12vl57c",12,192,0,0.0833333333333334
"1134ddq",67,70826,0,0.0149253731343283
"128r3j5",85,90598,0,0.0117647058823529
"10jd9xf",20,24470,0,0.05
"124tz2b",89,65741,0,0.0112359550561798
"jovqu4h",3,2287,0,0.333333333333333
"jouk353",8,3332,0,0.125
"jou45gn",9,11596,0,0.111111111111111
"jouf15m",2,3417,0,0.5
"jougrmi",4,4872,0,0.25
"jov2kwv",3,433,0,0.333333333333333
"jouxs1g",2,217,0,0.5
"jox5kmt",1,0,0,1
"jou2pq7",4,5041,0,0.25
"jovod3w",2,217,0,0.5
"jovrebm",1,0,0,1
"joy1hvf",2,217,0,0.5
"jozgsqd",1,0,0,1
"jovu321",1,0,0,1
"jow2op6",2,432,0,0.5
"joxqb6a",1,0,0,1
"jour7yd",3,647,0,0.333333333333333
"joufpxt",1,0,0,1
"joua77o",2,1477,0,0.5
"jowgtuh",1,0,0,1
"jowf9e8",4,1073,0,0.25
"jovd894",2,432,0,0.5
"jovva00",2,432,0,0.5
"jowpu8l",3,433,0,0.333333333333333
"jouv2lt",2,217,0,0.5
"jowsv4a",1,0,0,1
"jovf7fq",1,0,0,1
"jp14iwe",1,0,0,1
"jowhmyd",2,1881,0,0.5
"joz3c0i",1,0,0,1
"jovumnq",2,1065,0,0.5
"jovx55r",1,0,0,1
"joxxg8p",2,432,0,0.5
"jov2gtf",2,217,0,0.5
"joxm8fu",2,217,0,0.5
"joxx44b",1,0,0,1
"joz4fsj",1,0,0,1
"jou83hj",2,4992,0,0.5
"jovfc6b",3,647,0,0.333333333333333
"jowaxz8",1,0,0,1
"jouwdno",2,645,0,0.5
"jov7oyg",4,1491,0,0.25
"jow123n",1,0,0,1
"joufvh2",7,3893,0,0.142857142857143
"joz7xs8",1,0,0,1
"jovy4sf",9,3323,0,0.111111111111111
"joux631",4,4413,0,0.25
"jowo4p4",1,0,0,1
"joxd7q5",1,0,0,1
"jows7wa",1,0,0,1
"jowl368",1,0,0,1
"jovwnlt",1,0,0,1
"jou93xk",2,4485,0,0.5
"joza6ut",1,0,0,1
"joxxl3b",1,0,0,1
"joxelgw",1,0,0,1
"joyhyxv",1,0,0,1
"jp599ir",2,217,0,0.5
"jozbaie",1,0,0,1
"joxykcg",2,217,0,0.5
"jov2agt",2,1272,0,0.5
"jowvqbi",2,217,0,0.5
"joxylye",2,217,0,0.5
"jp58sz1",1,0,0,1
"jox3ome",2,217,0,0.5
"joxyglu",2,217,0,0.5
"joyizd9",1,0,0,1
"jowvt3d",1,0,0,1
"jowlj5q",1,0,0,1
"jox4l9f",4,1699,0,0.25
"joxs6xp",2,856,0,0.5
"joz7rvp",2,217,0,0.5
"jovl2b7",1,0,0,1
"joz7h09",1,0,0,1
"jouaybr",4,4931,0,0.25
"jowxqbr",2,217,0,0.5
"jowvel3",1,0,0,1
"jowuwdx",2,432,0,0.5
"jovbyxx",2,217,0,0.5
"jowlt1n",1,0,0,1
"jovvou8",2,645,0,0.5
"jouzzfy",2,217,0,0.5
"jov1qp5",2,432,0,0.5
"jougiev",4,2107,0,0.25
"jowzxhr",1,0,0,1
"jov6qye",1,0,0,1
"joupnjj",1,0,0,1
"jovzg6t",5,1494,0,0.2
"joxdtac",1,0,0,1
"joxjuw7",1,0,0,1
"jowgsda",2,217,0,0.5
"jowd14q",1,0,0,1
"joxln3a",1,0,0,1
"joxwue7",1,0,0,1
"joz8brl",1,0,0,1
"jov2ycx",3,3089,0,0.333333333333333
"jovp8wq",1,0,0,1
"jovvs72",2,856,0,0.5
"joubn6y",2,4312,0,0.5
"jpc1e95",1,0,0,1
"joy6dan",1,0,0,1
"jowm4q0",2,1065,0,0.5
"jp4ilao",1,0,0,1
"jp4ies6",1,0,0,1
"joxt7kx",1,0,0,1
"joy5mza",1,0,0,1
"joxgjas",2,432,0,0.5
"jox64km",1,0,0,1
"joxx0jx",2,645,0,0.5
"joxzdik",2,645,0,0.5
"jp81cxz",1,0,0,1
"joubfyt",2,432,0,0.5
"jouwugd",2,217,0,0.5
"joub86o",7,3901,0,0.142857142857143
"jowy2of",1,0,0,1
"joxqvwg",2,217,0,0.5
"jp0pbus",1,0,0,1
"jox6so7",2,432,0,0.5
"jovlu80",1,0,0,1
"jov2gqt",2,217,0,0.5
"joulfq9",2,1065,0,0.5
"jouxcxi",2,432,0,0.5
"jowsqwb",1,0,0,1
"jow6r5b",2,217,0,0.5
"jowuanj",3,433,0,0.333333333333333
"joxd33t",1,0,0,1
"joyk5hf",1,0,0,1
"joxiish",1,0,0,1
"jovbgb6",2,2080,0,0.5
"jox7621",3,647,0,0.333333333333333
"jovwj27",2,645,0,0.5
"joulcwn",5,4194,0,0.2
"joxndm8",2,856,0,0.5
"joxx29u",2,217,0,0.5
"jp5p0hz",2,432,0,0.5
"joy19hr",3,433,0,0.333333333333333
"jox6hlc",2,217,0,0.5
"jownsjy",1,0,0,1
"jougdun",4,1901,0,0.25
"jovv2ge",1,0,0,1
"jouja8c",2,432,0,0.5
"jouzggd",2,432,0,0.5
"jov4rpk",1,0,0,1
"jowdf0t",1,0,0,1
"joxtrou",1,0,0,1
"joxz8r4",2,217,0,0.5
"jov374n",1,0,0,1
"jousxid",3,859,0,0.333333333333333
"jow0zgi",2,217,0,0.5
"joz84yu",1,0,0,1
"jowxvmo",1,0,0,1
"joxjzuq",1,0,0,1
"jovt9jc",2,1881,0,0.5
"jox9j76",2,217,0,0.5
"joxxdzb",1,0,0,1
"jovyk5s",2,432,0,0.5
"jourwdk",7,3523,0,0.142857142857143
"jov6xiu",1,0,0,1
"jov4pp3",1,0,0,1
"jox9ng1",1,0,0,1
"jp15f4f",2,645,0,0.5
"joybv98",1,0,0,1
"jp7sd1o",2,217,0,0.5
"joy6ths",1,0,0,1
"joyeit0",1,0,0,1
"joxg99y",1,0,0,1
"jovwbln",3,1069,0,0.333333333333333
"jouggy0",1,0,0,1
"jouwzm2",2,217,0,0.5
"jovc2w9",2,217,0,0.5
"jov577l",2,217,0,0.5
"jp19pwg",1,0,0,1
"jowimgq",1,0,0,1
"jowiqrz",2,432,0,0.5
"jowgnz0",1,0,0,1
"jovyafx",4,1700,0,0.25
"joxpv9y",1,0,0,1
"jovzff3",2,217,0,0.5
"jov600m",1,0,0,1
"jov5lxa",2,432,0,0.5
"jout97n",1,0,0,1
"jov9vog",1,0,0,1
"jov717o",3,647,0,0.333333333333333
"jov6rc0",2,1272,0,0.5
"jp1on38",2,432,0,0.5
"jp86tvf",1,0,0,1
"jow12yw",2,645,0,0.5
"jowdebj",1,0,0,1
"jowdq83",1,0,0,1
"jox4ix1",1,0,0,1
"jov68yw",1,0,0,1
"jox0xfk",2,217,0,0.5
"jowh6gb",4,648,0,0.25
"joz8kc0",2,217,0,0.5
"jp4m6wa",2,217,0,0.5
"jowe9gf",1,0,0,1
"jovbj6h",2,217,0,0.5
"jov8yln",2,217,0,0.5
"joxxypf",1,0,0,1
"jov9fae",3,1071,0,0.333333333333333
"jp38tg8",2,217,0,0.5
"jowhueb",2,432,0,0.5
"jox2nxb",1,0,0,1
"jowsrnt",1,0,0,1
"jowmbbv",1,0,0,1
"joxxbzl",1,0,0,1
"jp171sz",1,0,0,1
"jp50w6n",1,0,0,1
"jovfip0",1,0,0,1
"jovcxk7",1,0,0,1
"jovcjh0",2,217,0,0.5
"jovc4ue",2,432,0,0.5
"jp4etrw",1,0,0,1
"jox46xh",2,217,0,0.5
"jovd5o6",1,0,0,1
"jovdlh1",2,217,0,0.5
"jox6j2k",1,0,0,1
"jovxqsi",1,0,0,1
"j5kdk4z",4,13388,0,0.25
